"rcrd_date","car_no","rcrd_time","lo_lgt","lo_ltt","lo_drc"
"2020-12-07",闽F02103D,"2020-12-07 07:51:05:331","117.007925","25.026820","70.970001"
"2020-12-07",闽F02103D,"2020-12-07 07:51:09:364","117.008112","25.026880","71.730003"
"2020-12-07",闽F02103D,"2020-12-07 07:51:12:509","117.008253","25.026940","66.529999"
"2020-12-07",闽F02103D,"2020-12-07 07:51:16:318","117.008392","25.026995","71.459999"
"2020-12-07",闽F02103D,"2020-12-07 07:51:23:442","117.008485","25.027047","46.599998"
"2020-12-07",闽F02103D,"2020-12-07 07:51:27:439","117.008612","25.027137","51.220001"
"2020-12-07",闽F02103D,"2020-12-07 07:51:28:475","117.008647","25.027157","64.519997"
"2020-12-07",闽F02103D,"2020-12-07 07:51:31:452","117.008840","25.027248","58.590000"
"2020-12-07",闽F02103D,"2020-12-07 07:51:33:546","117.008973","25.027310","61.500000"
"2020-12-07",闽F02103D,"2020-12-07 07:51:36:550","117.009145","25.027400","58.310001"
"2020-12-07",闽F02103D,"2020-12-07 07:51:39:456","117.009333","25.027487","59.799999"
"2020-12-07",闽F02103D,"2020-12-07 07:51:42:612","117.009528","25.027585","58.209999"
"2020-12-07",闽F02103D,"2020-12-07 07:51:45:574","117.009700","25.027677","62.590000"
"2020-12-07",闽F02103D,"2020-12-07 07:51:48:494","117.009835","25.027762","57.540001"
"2020-12-07",闽F02103D,"2020-12-07 07:51:51:636","117.010003","25.027882","55.169998"
"2020-12-07",闽F02103D,"2020-12-07 07:51:53:505","117.010137","25.027972","54.119999"
"2020-12-07",闽F02103D,"2020-12-07 07:51:56:427","117.010297","25.028068","47.730000"
"2020-12-07",闽F02103D,"2020-12-07 07:52:24:573","117.010418","25.028172","37.250000"
"2020-12-07",闽F02103D,"2020-12-07 07:52:30:430","117.010528","25.028295","39.290001"
"2020-12-07",闽F02103D,"2020-12-07 07:52:34:615","117.010660","25.028423","44.040001"
"2020-12-07",闽F02103D,"2020-12-07 07:52:37:585","117.010812","25.028552","42.310001"
"2020-12-07",闽F02103D,"2020-12-07 07:52:40:113","117.010958","25.028703","39.310001"
"2020-12-07",闽F02103D,"2020-12-07 07:52:43:041","117.011093","25.028877","38.930000"
"2020-12-07",闽F02103D,"2020-12-07 07:52:45:130","117.011207","25.028993","40.029999"
"2020-12-07",闽F02103D,"2020-12-07 07:52:47:225","117.011322","25.029120","39.209999"
"2020-12-07",闽F02103D,"2020-12-07 07:52:49:096","117.011440","25.029252","36.970001"
"2020-12-07",闽F02103D,"2020-12-07 07:52:50:997","117.011560","25.029403","34.740002"
"2020-12-07",闽F02103D,"2020-12-07 07:52:53:073","117.011670","25.029555","33.490002"
"2020-12-07",闽F02103D,"2020-12-07 07:52:54:995","117.011778","25.029700","32.290001"
"2020-12-07",闽F02103D,"2020-12-07 07:52:57:066","117.011872","25.029845","31.430000"
"2020-12-07",闽F02103D,"2020-12-07 07:52:58:950","117.011973","25.029972","33.770000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:02:061","117.012083","25.030137","26.490000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:05:000","117.012115","25.030178","13.080000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:20:105","117.012115","25.030178","25.790001"
"2020-12-07",闽F02103D,"2020-12-07 07:53:23:249","117.012208","25.030328","17.540001"
"2020-12-07",闽F02103D,"2020-12-07 07:53:25:995","117.012290","25.030498","21.830000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:28:083","117.012355","25.030657","21.150000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:30:025","117.012430","25.030830","20.350000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:32:323","117.012495","25.031037","18.299999"
"2020-12-07",闽F02103D,"2020-12-07 07:53:34:209","117.012565","25.031255","19.120001"
"2020-12-07",闽F02103D,"2020-12-07 07:53:36:286","117.012648","25.031457","20.000000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:38:160","117.012710","25.031675","17.100000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:40:045","117.012767","25.031895","21.020000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:42:156","117.012840","25.032080","21.230000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:44:262","117.012937","25.032253","20.020000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:46:149","117.012995","25.032422","20.969999"
"2020-12-07",闽F02103D,"2020-12-07 07:53:48:092","117.013043","25.032603","20.290001"
"2020-12-07",闽F02103D,"2020-12-07 07:53:50:207","117.013117","25.032788","20.120001"
"2020-12-07",闽F02103D,"2020-12-07 07:53:52:283","117.013177","25.032955","25.080000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:54:396","117.013260","25.033098","28.160000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:56:265","117.013342","25.033212","25.740000"
"2020-12-07",闽F02103D,"2020-12-07 07:53:59:222","117.013405","25.033347","20.490000"
"2020-12-07",闽F02103D,"2020-12-07 07:54:01:300","117.013405","25.033347","34.830002"
"2020-12-07",闽F02103D,"2020-12-07 07:54:26:374","117.013405","25.033347","16.510000"
"2020-12-07",闽F02103D,"2020-12-07 07:54:28:305","117.013448","25.033480","11.700000"
"2020-12-07",闽F02103D,"2020-12-07 07:54:31:463","117.013485","25.033693","13.670000"
"2020-12-07",闽F02103D,"2020-12-07 07:54:33:343","117.013543","25.033890","16.760000"
"2020-12-07",闽F02103D,"2020-12-07 07:54:35:436","117.013622","25.034097","21.320000"
"2020-12-07",闽F02103D,"2020-12-07 07:54:37:317","117.013703","25.034278","24.459999"
"2020-12-07",闽F02103D,"2020-12-07 07:54:39:413","117.013795","25.034437","25.469999"
"2020-12-07",闽F02103D,"2020-12-07 07:54:41:324","117.013875","25.034588","24.430000"
"2020-12-07",闽F02103D,"2020-12-07 07:54:43:200","117.013948","25.034743","25.330000"
"2020-12-07",闽F02103D,"2020-12-07 07:54:45:272","117.014020","25.034883","27.410000"
"2020-12-07",闽F02103D,"2020-12-07 07:54:47:157","117.014088","25.035010","24.440001"
"2020-12-07",闽F02103D,"2020-12-07 07:54:50:283","117.014147","25.035192","23.110001"
"2020-12-07",闽F02103D,"2020-12-07 07:54:53:239","117.014260","25.035342","28.020000"
"2020-12-07",闽F02103D,"2020-12-07 07:54:56:157","117.014358","25.035492","26.350000"
"2020-12-07",闽F02103D,"2020-12-07 07:54:59:312","117.014457","25.035665","24.740000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:01:226","117.014515","25.035790","24.110001"
"2020-12-07",闽F02103D,"2020-12-07 07:55:04:356","117.014608","25.035953","26.770000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:06:223","117.014685","25.036077","27.500000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:08:347","117.014767","25.036200","29.040001"
"2020-12-07",闽F02103D,"2020-12-07 07:55:10:432","117.014840","25.036320","27.930000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:13:366","117.014932","25.036485","27.080000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:16:284","117.015017","25.036618","32.970001"
"2020-12-07",闽F02103D,"2020-12-07 07:55:19:271","117.015112","25.036748","38.330002"
"2020-12-07",闽F02103D,"2020-12-07 07:55:21:348","117.015137","25.036788","23.920000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:37:252","117.015220","25.036978","21.520000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:39:563","117.015280","25.037108","21.889999"
"2020-12-07",闽F02103D,"2020-12-07 07:55:41:282","117.015357","25.037260","22.750000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:43:404","117.015408","25.037437","18.219999"
"2020-12-07",闽F02103D,"2020-12-07 07:55:45:493","117.015475","25.037608","18.430000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:47:397","117.015513","25.037800","12.560000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:49:490","117.015578","25.037975","8.850000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:51:370","117.015618","25.038152","9.550000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:53:531","117.015613","25.038335","4.380000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:55:393","117.015673","25.038497","2.060000"
"2020-12-07",闽F02103D,"2020-12-07 07:55:57:483","117.015675","25.038633","357.420013"
"2020-12-07",闽F02103D,"2020-12-07 07:56:00:397","117.015650","25.038813","356.570007"
"2020-12-07",闽F02103D,"2020-12-07 07:56:02:491","117.015628","25.038977","358.119995"
"2020-12-07",闽F02103D,"2020-12-07 07:56:04:429","117.015617","25.039140","355.510010"
"2020-12-07",闽F02103D,"2020-12-07 07:56:06:502","117.015592","25.039303","352.220001"
"2020-12-07",闽F02103D,"2020-12-07 07:56:08:392","117.015573","25.039470","354.450012"
"2020-12-07",闽F02103D,"2020-12-07 07:56:10:332","117.015557","25.039623","354.390015"
"2020-12-07",闽F02103D,"2020-12-07 07:56:12:452","117.015542","25.039780","353.890015"
"2020-12-07",闽F02103D,"2020-12-07 07:56:14:561","117.015522","25.039938","351.500000"
"2020-12-07",闽F02103D,"2020-12-07 07:56:16:645","117.015475","25.040130","349.329987"
"2020-12-07",闽F02103D,"2020-12-07 07:56:18:342","117.015427","25.040355","352.489990"
"2020-12-07",闽F02103D,"2020-12-07 07:56:20:432","117.015400","25.040590","353.940002"
"2020-12-07",闽F02103D,"2020-12-07 07:56:22:322","117.015373","25.040825","353.049988"
"2020-12-07",闽F02103D,"2020-12-07 07:56:24:637","117.015320","25.041067","354.489990"
"2020-12-07",闽F02103D,"2020-12-07 07:56:26:506","117.015310","25.041312","355.660004"
"2020-12-07",闽F02103D,"2020-12-07 07:56:28:616","117.015302","25.041530","357.440002"
"2020-12-07",闽F02103D,"2020-12-07 07:56:30:321","117.015298","25.041747","358.809998"
"2020-12-07",闽F02103D,"2020-12-07 07:56:32:413","117.015305","25.041970","359.809998"
"2020-12-07",闽F02103D,"2020-12-07 07:56:34:506","117.015310","25.042197","0.500000"
"2020-12-07",闽F02103D,"2020-12-07 07:56:36:583","117.015340","25.042402","4.690000"
"2020-12-07",闽F02103D,"2020-12-07 07:56:38:463","117.015375","25.042593","5.370000"
"2020-12-07",闽F02103D,"2020-12-07 07:56:40:547","117.015412","25.042798","5.020000"
"2020-12-07",闽F02103D,"2020-12-07 07:56:42:521","117.015443","25.043000","7.460000"
"2020-12-07",闽F02103D,"2020-12-07 07:56:44:436","117.015468","25.043183","4.450000"
"2020-12-07",闽F02103D,"2020-12-07 07:56:46:520","117.015495","25.043328","6.240000"
"2020-12-07",闽F02103D,"2020-12-07 07:56:49:462","117.015520","25.043495","5.730000"
"2020-12-07",闽F02103D,"2020-12-07 07:56:53:631","117.015557","25.043657","13.920000"
"2020-12-07",闽F02103D,"2020-12-07 07:56:55:520","117.015592","25.043807","14.790000"
"2020-12-07",闽F02103D,"2020-12-07 07:56:57:433","117.015643","25.043978","15.200000"
"2020-12-07",闽F02103D,"2020-12-07 07:56:59:523","117.015707","25.044168","17.350000"
"2020-12-07",闽F02103D,"2020-12-07 07:57:01:433","117.015770","25.044375","13.790000"
"2020-12-07",闽F02103D,"2020-12-07 07:57:03:582","117.015847","25.044578","15.310000"
